10000000110001011000100010010010 11111000100110101010000111010110
11011000110001001011101101110000 01100110011100011100000101111011
11011110100100101110011100100011 11011100011100010111111111110101
11001010011100100010111100111000 10111001001100101010100111101111
11110111110001111001100011000100 10010001100101001110111001111000
10101100011010101011110000111001 10101111001101000111100000010000
01011010001110000001011010110010 01000000000101100110100110101101
00001011100100110010111011111110 01011010000100010000000101111011
00001000100000000001001001011011 00000101111101101110110000111001
01010111101100000101000000000100 10011000111111011010001101011001
11110011011111000001000000011100 01010011010000001010110101011010
11110111011110000010111001111001 10101111000100100110011100011000
11011100101101111010000111010110 11110111001010000010111111111110
00110101001100110100111010110100 00011000011100011001110010111111
01110101110000110101000010100011 01001101111001111110111011001010
01001111001000110010011011011110 10011010110110101110001011000010
01001100111000
00110111101010110001011101111101 01110010000000000111000101011110
11010101100111011010010100000010 10000101001001110101011111101001
00000101000111101011101111101010 11001100110110111001111110111001
01100011111010001100110111001011 00000001111001110000010000011001
01000111101111110010010010110011 11011000110010001000100111001001
11101101100000001110100011110001 11101000100000001010011010101111
11010111000110101100010111111011 01101100011010001011101001001001
10101100000100100010010111010100 11111101101001011000011010010001
00111100110000001111110010001011 10011010011000001111010010101110
00000111000110011101100101100110 10011011010101110100111001011100
10101101011000010010011011000100 00100011101011110011111110011000
00101111100111100000101011100010 01110111100010001101001100001111
10111101001001010010001011110110 01011111100111010101101011000100
00111000110101011001111000000111 01100111010010010000001101101100
11011000110101010100001110110110 11001010111101110100100010100000
00000011010100110010100010000010 11011101111000000001111000011100
01011000101001
00011100011000101000110100101110 01101011010011001011101111010111
00010000010011001111010001000101 01110001011010110011001000010011
00100001011110110010100111010010 11101111000110110110000000101100
01000111011011000111011001101000 01010001001100100101011000001000
11100110001011100000000110101111 01111011111010100000100010110110
00010010111001110001001000111111 00110100000011011011011100111100
00101110011001001100101101101001 01001010011100011110110110011101
00100100100101110001000011111010 11110111010000010100011100011111
01000011011100011011101100000001 11011000100010001110011110100001
01100101000010110000001010110100 10110011011010101110001111010011
01000110111001100011110110101110 11111110010111111110011111001100
01000010000100100010000010001100 10101111001010110000000111010011
